Matrix,v1Code,V2 Code,Analyte,Analyte Code,Common Method Name,Extraction reagents/formulation,Extraction Ratio,Extraction Basis,Extraction Time,Analyte Measurement Method,Observation Category,Reporting Unit,Acceptance,Status,Citation Organization,Citation,Citation Link,Row Added Date,Row Changed Date,Change Comment,Notes
PLANT,B-FE.05.04,L_MODV2_PLANT_FE_004,iron,FE,"Acid Wet Digestion, Open Vessel","HNO3, HClO4",,,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 6 Nitric-Perchloric Acid Wet Digestion in an Open Vessel; Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,B-FE.04.04,L_MODV2_PLANT_FE_005,iron,FE,Muffle Furnace Dry Ashing,HCl,Varies,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 5 High-Temperature Oxidation: Dry Ashing, Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy,and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_FE_006,iron,FE,Energy Dispersive X-Ray Fluorescence (ED-XRF),,Direct,m/m,,ED-XRF Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_FE_007,iron,FE,Laser Induced Breakdown Spectroscopy (LIBS),,Direct,m/m,,LIBS Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_PB_001,lead,PB,"Acid Wet Digestion, Open Vessel","HNO3, H2O2",Varies,m/m,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,WERA-103,"Soil, Plant and Water Reference Methods for the Western Region, 2013, WERA-103. Method B-4.25. Phosphorus, Potassium, Sulfur, Calcium, Magnesium Sodium, Zinc, Manganese, Copper, Iron and Molybdenum of Botanical Materials",,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected from % to mg/kg per WERA B-4.25: Pb explicit trace element in scope,
PLANT,B-PB.10.04,L_MODV2_PLANT_PB_002,lead,PB,"Microwave-Assisted Acid Digestion, Closed Vessel","HNO3, H2O2",Varies,m/m,,ICP-OES,MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 8. Microwave Digestion of Plant Tissue in a Closed Vessel and Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy. Taylor & Francis Group.",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,B-PB.11.04,L_MODV2_PLANT_PB_003,lead,PB,"Acid Wet Digestion, Open Vessel","HNO3, HClO4",,,,"ICP-OES, AAS",MEASURED,mg/kg,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 6 Nitric-Perchloric Acid Wet Digestion in an Open Vessel; Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry. Taylor & Francis Group .",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,2026-04-07T12:00:00Z,UoM corrected to mg/kg per Kalra 1998 Ch.6 trace element (Pb) calculation formula,
PLANT,,L_MODV2_PLANT_PB_004,lead,PB,Muffle Furnace Dry Ashing,HNO3,Varies,m/m,,"ICP-OES, AAS",MEASURED,%,OFFICIAL,VALID,SPAC,"Kalra, Y. P. (ed.). (1998). Handbook of Reference Methods for Plant Analysis. Ch. 24 Determination of Cadmium, Chromium, Cobalt, Lead, and Nickel in Plant Tissue. and Ch. 21 Elemental Determination by Inductively Coupled Plasma Atomic Emission Spectroscopy, and Ch. 20. Elemental Determination by Atomic Absorpotion  Spectophotometry.  Taylor & Francis Group.",https://www.google.com/books/edition/Handbook_of_Reference_Methods_for_Plant/wLggXPmhY18C?hl=en&gbpv=0,2026-04-02T12:00:00Z,,,
PLANT,,L_MODV2_PLANT_PB_005,lead,PB,Laser Induced Breakdown Spectroscopy (LIBS),,Direct,m/m,,LIBS Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,Analyte not listed in Reference
PLANT,,L_MODV2_PLANT_PB_006,lead,PB,Energy Dispersive X-Ray Fluorescence (ED-XRF),,,,,ED-XRF Instrument,MEASURED,%,OFFICIAL,VALID,,"de Carvalho, G.G. Arantes, M.B. Guerra, A. Adame, C.S. Nomura, P.V. Oliveira, H.W.P. de Carvalho, D. Santos, L.C. Nunes, and F.J. Krug. ""Recent advances in LIBS and XRF for the analysis of plants."" Journal of Analytical Atomic Spectrometry 33, no. 6 (2018): 919-944.",,2026-04-02T12:00:00Z,,,
