Modus Code (V1 & V2),V2 Code (Supersedes to)
L_MODV2_SOIL_B_003,L_MODV2_SOIL_B_003
L_MODV2_SOIL_B_004,L_MODV2_SOIL_B_004
L_MODV2_SOIL_B_005,L_MODV2_SOIL_B_005
L_MODV2_SOIL_B_006,L_MODV2_SOIL_B_006
L_MODV2_SOIL_B_007,L_MODV2_SOIL_B_007
L_MODV2_SOIL_B_008,L_MODV2_SOIL_B_008
L_MODV2_SOIL_B_009,L_MODV2_SOIL_B_009
L_MODV2_SOIL_B_010,L_MODV2_SOIL_B_010
L_MODV2_SOIL_B_011,L_MODV2_SOIL_B_011
L_MODV2_SOIL_B_012,L_MODV2_SOIL_B_012
L_MODV2_SOIL_B_013,L_MODV2_SOIL_B_013
L_MODV2_SOIL_B_014,L_MODV2_SOIL_B_014
L_MODV2_SOIL_B_015,L_MODV2_SOIL_B_015
L_MODV2_SOIL_B_016,L_MODV2_SOIL_B_016
L_MODV2_SOIL_B_017,L_MODV2_SOIL_B_017
L_MODV2_SOIL_B_018,L_MODV2_SOIL_B_018
L_MODV2_SOIL_B_019,L_MODV2_SOIL_B_019
L_MODV2_SOIL_B_020,L_MODV2_SOIL_B_020
L_MODV2_SOIL_B_021,L_MODV2_SOIL_B_021
L_MODV2_SOIL_B_022,L_MODV2_SOIL_B_022
L_MODV2_SOIL_B_023,L_MODV2_SOIL_B_023
L_MODV2_SOIL_BPH_001,L_MODV2_SOIL_BPH_001
L_MODV2_SOIL_BPH_002,L_MODV2_SOIL_BPH_002
L_MODV2_SOIL_BPH_003,L_MODV2_SOIL_BPH_003
L_MODV2_SOIL_BPH_004,L_MODV2_SOIL_BPH_004
L_MODV2_SOIL_BPH_005,L_MODV2_SOIL_BPH_005
L_MODV2_SOIL_BPH_006,L_MODV2_SOIL_BPH_006
L_MODV2_SOIL_BPH_007,L_MODV2_SOIL_BPH_007
L_MODV2_SOIL_BPH_008,L_MODV2_SOIL_BPH_008
L_MODV2_SOIL_BPH_009,L_MODV2_SOIL_BPH_009
L_MODV2_SOIL_BPH_010,L_MODV2_SOIL_BPH_010
L_MODV2_SOIL_BPH_011,L_MODV2_SOIL_BPH_011
L_MODV2_SOIL_BD_001,L_MODV2_SOIL_BD_001
L_MODV2_SOIL_BD_002,L_MODV2_SOIL_BD_002
L_MODV2_SOIL_BD_003,L_MODV2_SOIL_BD_003
L_MODV2_SOIL_BD_004,L_MODV2_SOIL_BD_004
L_MODV2_SOIL_BD_005,L_MODV2_SOIL_BD_005
