Modus Code (V1 & V2),V2 Code (Supersedes to)
B-AL.02.04,L_MODV2_PLANT_AL_002
B-AL.11.04,L_MODV2_PLANT_AL_006
B-AL.12.04,L_MODV2_PLANT_AL_005
B-ASH.03,L_MODV2_PLANT_DM_001
B-B.02.04,L_MODV2_PLANT_B_001
B-B.04.04,L_MODV2_PLANT_B_003
B-B.10.04,L_MODV2_PLANT_B_002
B-BA.10.04,L_MODV2_PLANT_BA_002
B-BA.10.06,L_MODV2_PLANT_BA_001
B-CA.02.04,L_MODV2_PLANT_CA_001
B-CA.04.04,L_MODV2_PLANT_CA_005
B-CA.05.04,L_MODV2_PLANT_CA_004
B-CA.10.04,L_MODV2_PLANT_CA_002
B-CA.12.04,L_MODV2_PLANT_CA_003
B-CA.13.04,L_MODV2_PLANT_CA_002
B-CD.10.04,L_MODV2_PLANT_CD_002
B-CL.01.01,L_MODV2_PLANT_CL_003
B-CL.09.02,L_MODV2_PLANT_CL_002
B-CL.14.11,L_MODV2_PLANT_CL_001
B-CO.10.04,L_MODV2_PLANT_CO_001
B-CR.10.04,L_MODV2_PLANT_CR_002
B-CR.11.04,L_MODV2_PLANT_CR_001
B-CU.02.04,L_MODV2_PLANT_CU_001
B-CU.04.04,L_MODV2_PLANT_CU_005
B-CU.05.04,L_MODV2_PLANT_CU_004
B-CU.10.04,L_MODV2_PLANT_CU_002
B-CU.12.04,L_MODV2_PLANT_CU_003
B-CU.13.04,L_MODV2_PLANT_CU_002
B-DM.10.00,L_MODV2_PLANT_DMP_001
B-FE.02.04,L_MODV2_PLANT_FE_001
B-FE.04.04,L_MODV2_PLANT_FE_005
B-FE.05.04,L_MODV2_PLANT_FE_004
B-FE.12.04,L_MODV2_PLANT_FE_003
B-FE.13.04,L_MODV2_PLANT_FE_002
B-HG.10.04,L_MODV2_PLANT_HG_001
B-K.01.04,L_MODV2_PLANT_K_002
B-K.04.04,L_MODV2_PLANT_K_006
B-K.10.04,L_MODV2_PLANT_K_003
B-K.11.04,L_MODV2_PLANT_K_005
B-K.12.04,L_MODV2_PLANT_K_004
B-K.13.04,L_MODV2_PLANT_K_003
B-MG.02.04,L_MODV2_PLANT_MG_001
B-MG.04.04,L_MODV2_PLANT_MG_005
B-MG.05.04,L_MODV2_PLANT_MG_004
B-MG.10.04,L_MODV2_PLANT_MG_002
B-MG.12.04,L_MODV2_PLANT_MG_003
B-MN.02.04,L_MODV2_PLANT_MN_001
B-MN.04.04,L_MODV2_PLANT_MN_005
B-MN.10.04,L_MODV2_PLANT_MN_002
B-MN.11.04,L_MODV2_PLANT_MN_004
B-MN.12.04,L_MODV2_PLANT_MN_003
B-MN.13.04,L_MODV2_PLANT_MN_002
B-MO.02.04,L_MODV2_PLANT_MO_002
B-MO.10.04,L_MODV2_PLANT_MO_003
B-MO.11.04,L_MODV2_PLANT_MO_004
B-NA.02.04,L_MODV2_PLANT_NA_007
B-NA.04.04,L_MODV2_PLANT_NA_004
B-NA.10.04,L_MODV2_PLANT_NA_001
B-NA.11.04,L_MODV2_PLANT_NA_003
B-NA.12.04,L_MODV2_PLANT_NA_002
B-NA.13.04,L_MODV2_PLANT_NA_001
B-NH4.01.08,L_MODV2_PLANT_NH4N_002
B-NH4.08,L_MODV2_PLANT_NH4N_003
B-NH4.09.01,L_MODV2_PLANT_NH4N_004
B-NI.10.04,L_MODV2_PLANT_NI_002
B-NI.11.04,L_MODV2_PLANT_NI_003
B-NO3.01.00,L_MODV2_PLANT_NO3N_003
B-NO3.01.01,L_MODV2_PLANT_NO3N_003
B-NO3.01.07,L_MODV2_PLANT_NO3N_004
B-NO3.02.01,L_MODV2_PLANT_TN_005
B-NO3.09.10,L_MODV2_PLANT_NO3N_001
B-P.10.04,L_MODV2_PLANT_P_003
B-P.11.04,L_MODV2_PLANT_P_005
B-P.12.04,L_MODV2_PLANT_P_004
B-PB.10.04,L_MODV2_PLANT_PB_002
B-PB.11.04,L_MODV2_PLANT_PB_003
B-PO4.01.01,L_MODV2_PLANT_PO4P_001
B-S.02.04,L_MODV2_PLANT_S_001
B-S.10.04,L_MODV2_PLANT_S_002
B-S.11.04,L_MODV2_PLANT_S_004
B-S.12.04,L_MODV2_PLANT_S_003
B-S.13.04,L_MODV2_PLANT_S_002
B-SE.05.06,L_MODV2_PLANT_SE_003
B-SE.11.04,L_MODV2_PLANT_SE_006
B-SO4.01.03,L_MODV2_PLANT_SO4S_001
B-SR.10.04,L_MODV2_PLANT_SR_002
B-TC.03,L_MODV2_PLANT_TC_001
B-TN.03.00,L_MODV2_PLANT_TN_002
B-TN.03.01,L_MODV2_PLANT_TN_001
B-TN.16.01,L_MODV2_PLANT_TN_004
B-TP.02.04,L_MODV2_PLANT_P_002
B-TP.04.04,L_MODV2_PLANT_P_006
B-TS.03,L_MODV2_PLANT_S_008
B-ZN.02.04,L_MODV2_PLANT_ZN_001
B-ZN.04.04,L_MODV2_PLANT_ZN_005
B-ZN.10.04,L_MODV2_PLANT_ZN_002
B-ZN.11.04,L_MODV2_PLANT_ZN_004
B-ZN.12.04,L_MODV2_PLANT_ZN_003
B-ZN.13.04,L_MODV2_PLANT_ZN_002
